,question_en,answer_en,chapter_no,verse_list
40,What is the story of Uzair in the Quran?,"Have you ever seen, O Prophet, a man who passed by a village in ruins, collapsed on its rooftops, and said, 'How can Allah revive this village after its death?' Allah caused him to die for a hundred years, then brought him back to life. When he saw the food and drink he had left untouched, and his donkey, he exclaimed, 'I know that Allah has power over all things!'",2,[259]
41,Prophet Ibrahim  desired to know how Allah brings the dead back to life. Mention the verse that indicates this.,"And when Ibrahim said, 'My Lord, show me how You bring the dead to life,' Allah said, 'Have you not believed?' Ibrahim said, 'Yes, but [I ask] only to be sure. So take four birds and slaughter them for me, then place a part of them on each hill, then call them; they will come to you in haste, and know that Allah is All-Mighty, All-Wise.' - Al-Baqarah 2:260",2,[260]
42,What is the evidence for Allah  multiplying the reward for charity in His path to seven hundred times?,The example of those who spend their wealth in the way of Allah is like a seed [of grain] which grows seven spikes; in each spike is a hundred grains. And Allah multiplies [His reward] for whom He wills. And Allah is all-Encompassing and Knowing.,2,[261]
43,Recite the verse that indicates that charity  expiates some sins and evil deeds.,"If you disclose your charitable acts, it is good, but if you conceal them and give them to the poor, that is better for you. It will expiate some of your sins. And Allah is well aware of what you do.",2,[271]
44,"In the Hadith, it is mentioned that if one looks at a blind person or covers them with their own garment, Allah will shade them on the Day when there will be no shade except His. Recite the verse from Surah Al-Baqarah that indicates this meaning.","But if he is in hardship, [he should fast for] two consecutive other days during any month. Allah intends for you ease and does not intend for you hardship, and [He wants] to complete the period and to exalt His bounty upon you, that you may be grateful.",2,[280]
45,Which verse was revealed when the believers complained about the whispering  and found the accountability  difficult?,"Whatever is in the heavens and whatever is on the earth is for Allah. And if you disclose what is within yourselves or conceal it, Allah will hold you accountable for it. Then He will forgive whomever He wills and punish whomever He wills. And Allah has power over all things.",2,[284]
46,"When the verse  was revealed, the believers complained about the whispering  and found the accountability for it difficult. What was the other verse that was revealed afterwards, which replaced this verse?","Allah does not burden a soul beyond its capacity. It has what it has earned, and against it, what it has incurred. Our Lord, do not hold us accountable if we forget or make a mistake. Our Lord, do not place on us a burden like that which You placed on those before us. Our Lord, do not place on us what we cannot bear. Pardon us, forgive us, have mercy on us. You are our Protector, so help us against the disbelieving people.",2,[286]
47,What are the desires that Allah has loved for the people?,"Lusts are: women, children, gold, silver, horses, cattle, and land. And the evidence: 'It has been made beautiful for people their love of lusts: of women, sons, heaped-up mounds of gold and silver, fine horses, and cattle and tilled land. That is the enjoyment of the life of this world.' - Quran 3:14",3,[14]
48,What is the true religion in the sight of God?,"Islam is the religion with Allah, and the only reason those who were given the scripture differed was out of envy after the knowledge came to them. And whoever denies Allah's signs, then Allah is swift in reckoning.",3,[19]
49,"Which verse was revealed when the Prophet Muhammad  promised his ummah the dominion of Persia and Rome, and the hypocrites said, 'Impossible'?","The verse is: 'Say: O Allah, You are the Master of all power, You give power to whom You will, and You take away power from whom You will. You exalt whom You will, and You humble whom You will. In Your hand is all good. Verily, You have power over all things.'",3,[26]
50,"Which verse was revealed when the polytheists said, 'We do not worship the idols except to seek nearness to Allah'?","If you love Allah, follow me, and Allah will love you and forgive your sins. Allah is Forgiving and Merciful.",3,[31]
51,Which of the prophets did Allah  choose above all others?,"God has chosen Adam, Noah, the family of Abraham, and the family of Imran above all the worlds.",3,[33]
52,What was the invocation of the mother of Mary  when she felt the burden of pregnancy in her old age and longed for a son?,"She vowed to dedicate what was in her womb to the service of the sacred house of Allah. And the evidence is: 'When the wife of Imran said: 'O my Lord, I have vowed to You what is in my womb, to be dedicated to Your service, so accept it from me. Indeed, You are the Hearing, the Knowing.' - Al 'Imran 35",3,[35]
53,When did Zachariah  call upon his Lord to grant him a child?,"When Zechariah saw Mary, peace be upon her, with summer fruits in winter and winter fruits in summer, he knew that the One who can bring forth things out of their usual season can also bring forth a child in old age. The proof of this is that her Lord accepted her with a good acceptance and nurtured her with a good nurturing, and Zechariah was her guardian. Whenever he entered the temple and found her, he found provision with her. He said, 'O Mary, how is this to you?' She said, 'It is from Allah. Indeed, Allah provides for whom He wills without account.' At that, Zechariah called upon his Lord, saying, 'My Lord, grant me from Yourself a good offspring. Indeed, You are the Hearer of supplication.'",3,[37 38]
54,"Which Prophet was called by the angels while he was standing and praying in the mihrab, and what was his complexion?","He is Zachariah, upon him be peace, and he was given the good news of a son. The proof of this is that the angels called out to him while he was standing and praying in the mihrab, saying that Allah is giving him the good news of John, who will confirm a word from Allah, will be noble, chaste, and a prophet, one of the righteous.",3,[39]
55,"Why was Zachariah  surprised when his Lord promised him a son, and what was God's response to him?","God replied, 'I do as I will,' when a man asked how he could have a son at the age of 120 and his wife at 89, as she was barren.",3,[40]
56,"What was the sign that Zachariah  asked his Lord  for, indicating his wife's pregnancy?","He should refrain from speaking to people, except in remembrance of Allah, for three days and nights, except by gesture. He said, 'My Lord, give me a sign.' He said, 'Your sign is that you will not speak to people for three days, except by sign, and remember your Lord much, and praise Him at dawn and at dusk.'",3,[41]
57,Who is the woman whom Allah has purified and chosen above the people of her time?,"And when the angels said, 'O Mary, indeed Allah has chosen you and purified you and chosen you above the women of the worlds.'",3,[42]
58,What are the miracles of Jesus ?,"I have come to you with a sign from your Lord that I can create birds from clay, cure the blind and the leper, bring the dead back to life, and inform you about what you eat and store in your homes. This is a sign for you, if you are believers.",3,[49]
59,Who was the first to believe in Jesus ? How many were they? And why were they called by this name?,"The disciples were twelve men, pure and white, and it was said that they were short and would whiten clothes. The evidence is: 'When Jesus realized their disbelief, he said, 'Who are my supporters for Allah?' The disciples said, 'We are the supporters of Allah. We believe in Allah, so bear witness that we are Muslims.'",3,[52]
60,Recite the verse that indicates that Allah  raised Jesus  to Him.,"And [Jesus] said, 'Peace be upon me the day I was born, and the day I die, and the day I am resurrected to life.' That is Jesus, son of Mary. It is a statement of the truth about which they are in doubt. It is not befitting for Allah to take a son. Glory be to Him! When He decrees a matter, He only says, 'Be,' and it is. Indeed, Allah is my Lord and your Lord, so worship Him. That is the straight path. But the factions have differed among themselves. So woe to those who disbelieve from the sight of a tremendous day. They will hear and see on the day they come to Us, but the wrongdoers today are in clear error. And warn them, O Muhammad, of the day when the punishment will come upon them, and then they will not be able to avert it, nor will they be reprieved. And if they turn away, know that Allah intends to punish them for some of their sins. Indeed, most of the people are not believers. And if you could see when they will be made to stand before the Fire and will say, 'Oh, we wish we could return [to the world], and not deny the signs of our Lord and be among the believers.' But what they concealed before has [now] become apparent to them. And if they were returned, they would revert to that which they were forbidden. And indeed, they are liars. And say, 'If you were inhabited by an everlasting home in the Garden of Eden and you were given [its] provision, [you would still disbelieve]. And [even if] you were to live there a thousand years - that [still] would not be good for you, [O disbelievers], compared to that which Allah will bring about for those who [truly] believe. And to those who are patient, their reward is never going to fail.' Say, 'Indeed, I am on clear evidence from my Lord, and you have denied it. I do not have that which you are impatient for. The decision is only for Allah. He declares the truth, and He is the best of judges.' Say, 'If what you want is indeed the last judgment, then indeed, the wrongdoers will not have any friends.' And your Lord is certainly forgiving and merciful to those [who do good].",3,[55]
61,"Can you summarize the miracle of Jesus' creation as mentioned in a verse of the Quran, and also provide an explanation of it?","The verse is: 'Indeed, the example of Jesus with Allah is like that of Adam. He created him from dust; then He said to him, 'Be,' and he was.'  The example of Jesus and his strange affair with Allah is like that of Adam. He created him without a father or a mother, and he created him from dust; then He said to him, 'Be,' and he was. Similarly, Jesus was told, 'Be,' and he was, without a father.",3,[59]
62,Recite the verse of Al-Mubāhala in the Quran. What is Al-Mubāhala? And what is its story?,"The verse of mutual imprecation is: 'But whoever disputes with you in this matter after [knowledge] has come to you - say, 'Come, let us call our sons and your sons, our women and your women, ourselves and yourselves, then invoke [Allah's] curse upon the liars.'  Mutual imprecation is an invocation in supplication  And the Prophet  called upon the delegation of Najran for this when they disputed with him. They said, 'Until we consider our affair, then we will come to you.' Their wise man said, 'You have already known his prophethood, and no people have ever been left without a prophet, and they all perished.' So they invoked the man and left. Then they came to the Prophet  who had come out with Hasan, Husain, Fatima, and Ali. He said to them, 'When you invoke, then bear witness.' But they refused to invoke, and they made peace with him regarding the jizya. This was narrated by Abu Nu'aim. And Ibn Abbas said, 'If those who invoke had come out, they would not have found any wealth or family.' And it was also narrated, 'If they had come out, they would have been burned.'",3,[61]
63,"The Jews claim that Ibrahim  was a Jew, and the Christians claim that he was a Christian. How does the Quran respond to them? Explain.","God said, 'O People of the Book, why do you argue about Abraham, when the Torah and the Gospel were only revealed after him? Do you not understand?'",3,[65 66 67 68]
64,"Who did this verse descend upon? 'And a party from among the people of the Scripture would have delighted you, if you had not been firm in faith, when they hear what you recite in the Qur'an, and they say, 'If only it had been revealed to us,' that they may use it as an argument against you. Say: 'If it had been revealed to you, you would have certainly been corrupt before them. So, do they not understand?'","When the Jews called upon Uzza, Ubaydah, and 'Ammar to return to their religion, a group of the People of the Book wished that the Muslims would be misguided, but they only misguided themselves. The sin of their misguidance is upon them, and the believers do not obey them in this matter, and they are unaware of it.",3,[69]
65,"Who did this verse descend upon? And among the People of the Book, there are those who, if you entrust them with a qintar, they will return it to you, and there are those who, if you entrust them with a dinar, they will only return it to you while you are present. That is because they say, 'There is no way for us with the unlettered,' and they speak lies against Allah, and they know it.","The verse was revealed regarding Abd Allah ibn Salam when a man entrusted him with one hundred and fifty ounces of gold, which he returned, and in the case of K'ab ibn al-Ashraf, a Qurashi dinar was entrusted to him, but he denied it and did not return it.",3,[75]
66,"Who did this verse descend upon, and what is the occasion? 'Those who sell Allah's covenant and their oaths for a small price, they shall have no share in the hereafter, and Allah will not speak to them, nor will He look at them on the Day of Resurrection, nor will He purify them; for them is a painful punishment.'","When the Jews altered the description of the Prophet, may Allah bless him and grant him peace, and broke their covenant with Allah in the Torah, and substituted false oaths in their disputes or transactions, those who exchange the covenant of Allah for disbelief in the Prophet and breach of trust, and their false oaths with Him, shall have a small portion in this world, and no share in the Hereafter. Allah will not speak to them, nor will He look at them, nor will He purify them. For them is a painful punishment.",3,[77]
67,"On which occasion was this verse revealed: 'And it is not fitting for a man that Allah should give him the Book, the Judgment, the Prophethood, and then he should say to men, 'Be my servants rather than Allah's.' But [he would say], 'Be you learned in what you learned of the Book, and establish regular prayer. This is My path, straight, so follow it.' - Al 'Imran 79","The verse was revealed when the Christians of Najran said, 'Jesus commanded us to make him our Lord,' and some Muslims asked the Prophet Muhammad  to prostrate to him.",3,[79]
68,What is the verse that indicates that anyone who seeks a religion other than Islam is a loser?,"And whoever seeks a religion other than Islam, it will never be accepted from him, and in the Hereafter, he will be among the losers.",3,[85]
69,"Who did this verse descend upon? Explain it. 'Indeed, those who disbelieved after their belief, then increased in disbelief - their repentance will not be accepted, and those are the ones astray.'","The verse was revealed regarding the Jews. Those who disbelieved in Jesus, and they are the Jews, after believing in Moses, and then increased in their disbelief towards Muhammad , their repentance will not be accepted if they die while disbelieving. Those are the misguided ones.",3,[90]
70,"Recite the reason for the revelation of these verses: 'All food was lawful for the Children of Israel except what Israel made unlawful for itself before the Torah was revealed. Say, 'Bring the Torah and recite it, if you are truthful.' Whoever invents a lie against Allah after this is indeed a wrongdoer.'","When the Jews said to the Prophet Muhammad , 'You claim to follow the religion of Abraham, but Jacob  did not eat beef or drink its milk,' Allah revealed: 'All food was lawful for the children of Israel except what Jacob had prohibited for himself due to his personal vow, which was beef. This prohibition was before the Torah was revealed and was not a part of Abraham's time as they claimed. , 'Bring the Torah if you are truthful, so we can verify your claim.' But they could not produce it. Allah said: 'Then whoever invents a lie against Allah after this, they are indeed wrongdoers.'",3,[93 94]
71,What is the first house built for worship on Earth?,"The Holy House of Allah  is in Makkah Al Mukarramah. Indeed, the first house established for people is the one at Bakkah - blessed and a guidance for the worlds. [3:96]",3,[96]
72,"What is the reason for the revelation of this verse: 'O you who have believed, if you obey a group from those who were given the Scripture, they will make you disbelievers after your belief.'","When some Jews passed by the tribes of Aws and Khazraj, they were annoyed by their alliance, so they reminded them of the enmity between them during the pre-Islamic period, which led to a dispute and they were on the verge of fighting each other.",3,[100]
73,"Who did this verse descend upon: 'And hold fast, all of you together, to the rope of Allah, and do not become divided. And remember Allah's favor upon you - how you were enemies, then He brought your hearts together and you became, by His favor, brothers. And you were on the brink of a pit of fire, then He saved you from it. Thus does Allah make clear to you His verses, that you may be guided.'",In the tribes of Aus and Khazraj.,3,[103]
74,"Who are those who have differed and disagreed about this verse: 'And do not be like those who are divided and differed after clear proofs have come to them, and those will have a great punishment.'",They are the Jews and the Christians.,3,[105]
75,Why was the nation of Muhammad  the best nation brought forth for the people?,"They enjoin what is right and forbid what is wrong and believe in Allah. And the proof of that is: 'You were the best nation produced [as an example] for mankind, enjoining what is right, forbidding what is wrong, and believing in Allah.'",3,[110]
76,"In which occasion was this verse revealed: 'You have no control over them, either to direct them, or they will be righteous.  Al 'Imran 3:128'","When the Prophet's  tooth was broken and his face was wounded on the day of Uhud, and he said, 'How can a people succeed who have stained the face of their prophet with blood?' it was revealed: 'You have no control over the matter, but Allah has control over all things, so be patient.'  meaning: 'Until Allah turns towards them in Islam, or until He punishes them, for they are indeed wrongdoers by their disbelief.'",3,[128]
77,In which occasion was this verse revealed? 'There have been before you examples of those who did wrong. So travel through the land and observe how was the end of those who denied .' - Al 'Imran 137,"And it was revealed about the defeat of Uhud: 'Indeed, you have already experienced many ways from those before you in the disbelievers, by being lenient with them, then seized them, so observe, O you who believe, the outcome of those who disbelieved in the messengers, and their end was that they were destroyed. So do not be saddened by their hastening, for I am giving them respite.'",3,[137]
78,What are the two battles mentioned in this verse from the battles of the Muslims? Explain the verse.,"The battles of Badr and Uhud. If you were to be struck at Uhud with an injury, similar to that which the disbelievers suffered at Badr, we would commemorate those days among people, one by one, so that they may be reminded and Allah may distinguish those who are sincere in their faith from those who are not. He loves not the disbelievers, and He will punish them. Whatever blessings He bestows upon them is but to test them.",3,[140]
79,Recite the verses that summarize what happened in the Battle of Uhud. Explain them.,"And indeed, Allah fulfilled His promise to you when you were killing them by His permission until you faltered and disagreed about the matter after [God had shown you] what you wished for. Among you are those who desire this world and among you are those who desire the Hereafter, then He turned you away from them [the enemy] to test you. And already has Allah forgiven you, and Allah is Ever Merciful to the believers.",3,[152 153 154]
80,"Who are those mentioned in the following verse that the devil misled? 'Indeed, those who turned back from among you on the day when the two armies met, only the devil made them slip because of some of what they had earned. But Allah has forgiven them. Indeed, Allah is Forgiving and Merciful.'","The Muslims were only twelve men who were left behind in the Battle of Uhud. Satan caused them to disobey by making them sin, which was against the Prophet's command.",3,[155]
81,"What is the occasion of the revelation of this verse? 'And it is not for a prophet to deceive. And whoever deceives shall bring what he has deceived on the Day of Resurrection, then every soul will be recompensed what it earned, and they will not be wronged.'","When I lost a red cloak on a Sunday, some people said, 'Perhaps the Prophet took it.' It is not fitting for a prophet to cheat in the spoils of war, so do not suspect him of that. And whoever embezzles will bring what he embezzled on the Day of Judgment, carrying it on his neck. Then every soul will receive the reward for what it has done, and they will not be wronged in the least.",3,[161]
82,"When a misfortune struck you, you said, 'How is this happening?' Say, 'It is from yourselves.' Indeed, Allah is over all things competent.'","When you suffered a loss with the killing of seventy of your people, you inflicted a similar loss at Badr, killing seventy and taking seventy captive. You asked, astonished, 'How could this happen to us, though we are Muslims and the Messenger of Allah is among us?' Tell them, 'It is from yourselves, for you abandoned the center and thus failed. Indeed, Allah has power over all things; He gives victory to whom He wills and causes defeat. He has made you taste a different outcome.'",3,[165]
83,"What is the day of the meeting of the two armies in the verse: 'And what struck you on the day the two armies met was by the permission of Allah, that He might know the believers.'",It is Sunday.,3,[166]
84,"Who did this verse descend upon? Explain it. 'And do not consider those who were killed in the way of Allah as dead. Rather, they are alive with their Lord, being provided for.'","Among the martyrs. 'And do not think, O Prophet, that those who were killed in the cause of Allah are indeed dead. Rather, they are alive, but you perceive [it] not.'",3,[169]
85,"Explain this verse: 'And let not those who disbelieve think that our granting them respite is good for them. We only grant them respite so that they may increase in sin, and for them is a humiliating punishment.'","Do not think, O disbelievers, that by prolonging your lives, indulging you in worldly pleasures, and not punishing you for your disbelief and sins, we are benefiting you. We only delay our punishment and your death. This will only increase your tyranny and oppression, and you will face a humiliating and degrading punishment.",3,[178]
87,Who is the winner on the Day of Judgment?,"He is one who has entered Paradise. The evidence is: Every soul shall taste death, and you shall only be recompensed on the Day of Resurrection. So, whoever is saved from the Fire and admitted to Paradise, has indeed achieved success. And the life of this world is nothing but a deceptive enjoyment.",3,[185]
88,Explain this verse: 'And when Allah made a covenant with those who were given the Scripture: 'You must make it clear and not conceal it.' But they threw it away behind their backs and exchanged it for a small price. How evil is what they sold themselves for!',"And remember, O Messenger, when Allah took a covenant from those to whom the Scripture was given, from the Jews and the Christians, that they would make known what was revealed to them and not conceal it, but they concealed it and sold it for a small price. So they have incurred no blame except for their disbelief in Allah's signs, and for their killing of the prophets without right, and for their saying, 'Our hearts are covered.' But Allah has sealed their hearts for their disbelief, so they do not believe except for a few.",3,[187]
89,What is the intended meaning of the caller in the blessed verse?,He is: Muhammad .,3,[193]
90,"What is the reason for the revelation of these verses? 'Do not be deceived by the wandering of those who disbelieve in the lands. [It is] a brief enjoyment, then their abode is Hellfire, and wretched is the resting place.'","When the Muslims said, 'Our enemies in the sight of Allah are those who hinder us from good deeds while we strive,' do not be deceived by the disbelievers' movements in the land through trade and earning. It is but a fleeting enjoyment they have for a little while in this world, and then their final abode will be Hell, and what a wretched resting place it is.",3,[196 197]
91,"Explain this verse: 'And indeed, among the People of the Scripture, there are those who believe in Allah and what has been revealed to you and what has been revealed to them, humbling themselves to Allah. They do not exchange the verses of Allah for a small price. For them, their reward is with their Lord. Indeed, Allah is swift in reckoning.'","Among the People of the Book, there are those who believe in Allah, like 'Abd Allah ibn Salam and his companions, and the Negus, and they believe in what has been revealed to you, the Quran, and to them, the Torah and the Gospel. They are humble towards Allah and do not exchange the signs of Allah that are with them in the Torah and the Gospel for a small worldly gain, fearing loss of authority, like some of the Jews did. They will have their reward with their Lord, twice, as mentioned in the stories. Indeed, Allah is swift in reckoning; He will reckon with the creation in half a day of the days of this world.",3,[199]
92,"What are the advices for the believers in this verse? 'O you who believe, be patient and persevere, strengthen yourselves, and fear Allah, so that you may be successful.'","O you who believe, be patient in the face of trials and tribulations, and avoid sins. Endure the disbelievers, without them being more patient than you. Be steadfast and remain firm in your positions. And fear Allah in all your affairs, so that you may attain paradise and be saved from hellfire.",3,[200]
